Designator,Mid X,Mid Y,Rotation,Layer
J82,133.3,-143.9,270.0,top
J83,114.1,-143.9,270.0,top
J84,127.3,-33.9,270.0,top
J85,108.1,-33.9,270.0,top
J86,127.3,-143.9,270.0,top
J87,108.1,-143.9,270.0,top
J88,121.3,-33.9,270.0,top
J89,102.1,-33.9,270.0,top
J9,228.1,-33.9,270.0,top
J90,121.3,-143.9,270.0,top
J91,102.1,-143.9,270.0,top
J92,115.3,-33.9,270.0,top
J93,96.1,-33.9,270.0,top
J94,115.3,-143.9,270.0,top
J95,96.1,-143.9,270.0,top
J96,109.3,-33.9,270.0,top
J97,90.1,-33.9,270.0,top
J98,109.3,-143.9,270.0,top
J99,90.1,-143.9,270.0,top
