Designator,Footprint,Quantity,Value,LCSC Part #
"J1, J2, J3",Hirose_FH12-26S-0.5SH(55)-FPC_1,3,Conn_01x26_MountingPin,
"J10, J100, J101, J102, J103, J104, J105, J106, J107, J108, J109, J11, J110, J111, J112, J113, J114, J115, J116, J117, J118, J119, J12, J120, J121, J122, J123, J124, J125, J126, J127, J128, J129, J13, J130, J131, J132, J133, J134, J135, J136, J137, J138, J139, J14, J140, J141, J142, J143, J144, J145, J146, J147, J148, J149, J15, J150, J151, J152, J153, J154, J155, J156, J157, J158, J159, J16, J160, J161, J162, J163, J164, J165, J166, J167, J168, J169, J17, J170, J171, J172, J173, J174, J175, J176, J177, J178, J179, J18, J180, J181, J182, J183, J184, J185, J186, J187, J19, J20, J21, J22, J23, J24, J25, J26, J27, J28, J29, J30, J31, J32, J33, J34, J35, J36, J37, J38, J39, J4, J40, J41, J42, J43, J44, J45, J46, J47, J48, J49, J5, J50, J51, J52, J53, J54, J55, J56, J57, J58, J59, J6, J60, J61, J62, J63, J64, J65, J66, J67, J68, J69, J7, J70, J71, J72, J73, J74, J75, J76, J77, J78, J79, J8, J80, J81, J82, J83, J84, J85, J86, J87, J88, J89, J9, J90, J91, J92, J93, J94, J95, J96, J97, J98, J99",coil_terminal_3p,184,Conn_02x03_Odd_Even,
